4085,robson_bbr,RT @yelssek: De um l...
4086,whaytim,RT @PalmeirenseNews:...
4656,Rodrigotimao9,@Teleco1910 Aff Casa...
5263,NaBocaDoGolCOR,Banda Inimigos da HP...
5490,igorgomes_79,RT @SporTV: Quem vai...
5959,FaBarbieri1,RT @SporTV: Quem vai...
6131,mylenpi,RT @_CartolaFCDicas:...
7332,anderson_fdpkk,RT @Guilherme_Rick: ...
7344,NaBocaDoGolCOR,Torcida do Corinthia...
7620,NaBocaDoGolCOR,Time de vôlei do Cor...
7673,ClaudioSCCP2015,RT @Footstats: Tempo...
8901,deornwllas,RT @napaulasccp: Cor...
12734,Tony_Canoas,Passe do tinga e gol...
17369,12victorJ,RT @Guilherme_Rick: ...
18825,Vaguininho55,RT @WilliamCapita: ....
19638,Bandodeloukos2,Treino do Corinthian...
20541,lukefys,HAUAHAUAHAU mano o c...
21606,gauchoms,RT @SporTV: Quem vai...
26270,Frankstein_ba,RT @Corinthians: Pra...
26321,Frankstein_ba,RT @Corinthians: Pra...
32584,W_Cardosoo,RT @SporTV: Quem vai...
35054,BrunoPelosi_86,RT @Corinthians: Nos...
35559,crf_manuella,RT @_CartolaFCDicas:...
40553,PalmeirasHoje,RT @SouSEPalmeiras: ...
41411,C_Cardosoo,Tomara que o grêmio ...
46980,robinhorezena,RT @SporTV: Quem vai...
49296,carvw_ju,RT @Corinthians: Pra...
58715,higors5,Ai @mano97fm avisa p...
62983,NagelaGaia,Cássio tá parecendo ...
64217,wesleyrafael239,RT @SporTV: Quem vai...
65470,kahhlopess_,Aonde aperta pra pul...
73010,BrieneMateus,@Corinthians @Doente...
73462,Pablovinicius__,RT @SporTV: G6 hoje:...
75703,downloadex,@Corinthians @Doente...
77178,targino,Corinthians campeão ...
89149,victor_yarid,RT @Guilherme_Rick: ...
89184,sillva_ton,RT @Corinthians: Nos...
91750,FilipePereira5,RT @Corinthians: Par...
99258,LuizRSJ,RT @Bernardoramosal:...
102480,aledarin,RT @EdmarChagas84: B...
105750,PPort_,RT @SporTV: Quem vai...
109439,milanetti,Nibiru virá, #Palmei...
